"Time (s),""Gyroscope x (rad/s)"",""Gyroscope y (rad/s)"",""Gyroscope z (rad/s)"""
5.078480632E0,2.495311052E-1,-8.393041492E-1,2.092151791E-1
5.098252195E0,1.304617047E0,-5.424323678E-1,1.786728203E-1
5.118022091E0,1.507418275E0,1.612636745E-1,1.048519373E0
5.137793653E0,1.822615504E0,1.980977654E0,1.462062955E0
5.157563653E0,2.208671093E0,-2.002357244E0,-1.112810969E0
5.177335112E0,-1.002705812E0,-1.527118087E-1,-2.657185495E-2
5.197105059E0,-1.314848781E0,-2.693836391E-1,-7.689039707E-1
5.216876622E0,-1.570182920E0,2.571208715E0,-1.701209545E-1
5.236646518E0,-2.865789890E0,3.750754833E0,4.456130862E-1
5.256418080E0,-2.410708666E0,1.838650227E0,4.297310412E-1
5.276188028E0,-2.813256979E0,1.355470061E0,1.405254126E0
5.295959591E0,-3.523672342E0,2.466601133E0,2.104063272E0
5.315729487E0,-3.564599276E0,3.153957129E0,2.058249950E0
5.335501049E0,-3.261618853E0,2.409792423E0,1.374711752E0
5.355270997E0,-3.323925257E0,1.842315316E0,6.667397618E-1
5.375042559E0,-3.282998562E0,1.944326878E0,4.489727318E-2
5.394812507E0,-2.685590029E0,1.931499004E0,-6.626165509E-1
5.414584070E0,-2.036259413E0,1.691436052E0,-8.189934492E-1
5.434354018E0,-2.020377398E0,1.360356808E0,-3.026748300E-1
5.454125580E0,-2.110782623E0,1.673721433E0,-6.566607952E-2
5.473895528E0,-2.028318405E0,2.160566807E0,9.193251282E-2
5.493667091E0,-1.621494055E0,1.028666735E0,-7.910472155E-2
5.513437039E0,-1.488329291E0,2.107423097E-1,-3.497100472E-1
5.533208601E0,-1.561020136E0,9.944593310E-1,-4.162923992E-1
5.552978549E0,-9.184088707E-1,1.113574505E0,-5.599942207E-1
5.572750112E0,-5.772506446E-2,6.713211536E-1,-9.381086826E-1
5.592520164E0,8.018897176E-1,9.901834130E-1,-1.197107911E0
5.612291674E0,1.404185176E0,1.181378603E0,-1.187945247E0
5.632061622E0,1.989376783E0,8.393041492E-1,-1.220930934E0
5.651833184E0,2.701013803E0,-1.484358907E-1,-1.184890985E0
5.671603237E0,3.691808224E0,1.612636745E-1,-1.053558826E0
5.691374747E0,4.257452488E0,1.527118124E-2,-1.524063945E-1
5.711144695E0,4.207363129E0,-4.935645759E-1,3.539859951E-1
5.730916257E0,4.199422359E0,-3.255968571E0,-1.853921413E-1
5.750686309E0,4.518895149E0,-4.149638176E0,-4.798205197E-1
5.770457820E0,5.166393280E0,-3.082488060E0,2.654131353E-1
5.790227872E0,4.847531319E0,-2.982919931E0,1.173132181E0
5.809999382E0,3.620949745E0,-4.057400227E0,1.555522561E0
5.829769434E0,2.256317139E0,-5.172196388E0,2.260440350E0
5.849540945E0,2.153694630E0,-4.283413887E0,2.993457079E0
5.869310997E0,2.944131136E0,-4.112376690E0,2.901829958E0
5.889082507E0,3.329575777E0,-5.525266171E0,1.955627441E0
5.908852559E0,3.102951288E0,-4.974892616E0,8.151756525E-1
5.928624070E0,2.662530422E0,-3.172893286E0,2.257080674E-1
5.948394122E0,1.978992462E0,-1.939440012E0,1.670667231E-1
5.968165632E0,1.099372387E0,-9.749122262E-1,3.552076817E-1
5.987935632E0,-2.629697323E-1,-1.197260618E-1,6.606312990E-1
6.007707247E0,-1.751604557E0,1.685938388E-1,8.909206986E-1
6.027477195E0,-2.621450901E0,7.440119386E-1,1.168856263E0
6.047248809E0,-2.286706686E0,8.765658140E-1,1.185349107E0
6.067018862E0,-1.088835239E0,1.881409585E-1,8.542698622E-1
6.086790372E0,2.596100792E-2,1.490467340E-1,5.073086619E-1
6.106560424E0,-4.114056230E-1,-3.799470067E-1,8.396095634E-1
6.126331987E0,-1.105938911E0,3.693946123E0,2.019155502E0
6.146102039E0,1.978381515E0,3.740370512E0,-1.862320542E0
6.165873549E0,2.125595808E0,-2.723767996E0,-1.037676811E0
6.185643601E0,-9.428427219E-1,-4.159869850E-1,1.186570764E0
6.205415164E0,1.365243644E-1,1.526507258E0,-5.192201585E-3
6.225185216E0,-2.686200857E0,4.920527458E0,1.005759954E0
6.244956726E0,-2.339850426E0,1.621188641E0,3.008422852E-1
6.264726726E0,-2.283041716E0,-3.121429384E-1,1.951656938E-1
6.284498341E0,-2.928096294E0,1.625464559E0,1.622715712E0
6.304268393E0,-3.337363958E0,4.138031960E0,1.931804419E0
6.324039955E0,-3.973866940E0,4.563181877E0,1.405254126E0
6.343809903E0,-3.618964672E0,1.853921413E0,8.561024070E-1
6.363581518E0,-2.816922188E0,2.166675329E0,4.511106908E-1
6.383351570E0,-2.329466105E0,2.483094215E0,-2.226538211E-1
6.403123132E0,-2.540819168E0,1.922336340E0,-5.636593103E-1
6.422893184E0,-3.071034670E0,2.598086119E0,-2.275405973E-1
6.442664747E0,-3.211529493E0,2.950545073E0,-4.184303805E-2
6.462434695E0,-2.766221762E0,2.547996521E0,-2.415900975E-1
6.482206309E0,-2.018544674E0,1.097692490E0,-3.875826001E-1
6.501976362E0,-1.564074397E0,-2.944283783E-1,-2.360924631E-1
6.521747924E0,-1.721673012E0,1.661504507E-1,-2.483094037E-1
6.541517976E0,-1.519482613E0,1.508792788E-1,-2.122694254E-1
6.561289539E0,-1.141368151E0,1.362189353E-1,-1.982199401E-1
6.581059591E0,-1.081505060E0,3.335226178E-1,-1.801999472E-2
6.600831101E0,-9.617789984E-1,7.751652002E-1,-1.560714692E-1
6.620601153E0,-4.022429287E-1,1.228413820E0,-5.563291311E-1
6.640372716E0,6.106945276E-1,9.596410394E-1,-5.164713860E-1
6.660142768E0,2.103605270E0,7.629482150E-1,-4.672981426E-2
6.679914330E0,3.159149408E0,9.846857786E-1,5.757235289E-1
6.699684382E0,3.285594702E0,-7.947123051E-1,8.347227573E-1
6.719455893E0,3.729680538E0,-1.020114899E0,5.708367825E-1
6.739225945E0,4.256230831E0,4.269822240E-1,4.413371384E-1
6.758997507E0,3.961191654E0,3.481829464E-1,4.046863019E-1
6.778767559E0,3.357674599E0,-9.633061290E-1,4.957025647E-1
6.798539070E0,3.192135096E0,-2.012130976E0,2.318165302E-1
6.818309070E0,3.842687368E0,-2.456827641E0,1.435491070E-2
6.838080684E0,4.228743076E0,-2.002357244E0,2.696890533E-1
6.857850737E0,3.964856863E0,-2.167286158E0,6.759024858E-1
6.877622299E0,3.327743053E0,-2.480650663E0,5.971031785E-1
6.897392247E0,2.890376568E0,-2.417122602E0,-4.245388508E-2
6.917163862E0,2.478665352E0,-2.345042706E0,-8.037222624E-1
6.936933914E0,1.818339586E0,-2.076269865E0,-9.417737722E-1
6.956705476E0,1.050504565E0,-1.400672793E0,-1.002858520E0
6.976475424E0,3.161134422E-1,-9.364288449E-1,-9.124531150E-1
6.996247039E0,-7.589777112E-1,-8.735115826E-2,-5.012001991E-1
7.016017091E0,-1.805969954E0,6.047387719E-1,2.043284029E-1
7.035788653E0,-1.921420097E0,8.179244995E-1,8.872556686E-1
7.055558601E0,-1.186570764E0,6.255075932E-1,9.874345660E-1
7.075330216E0,9.804098308E-2,-9.333745837E-1,9.376505762E-2
7.095100268E0,1.449998736E0,-1.536280870E0,-5.716003180E-1
7.114871778E0,1.639361382E0,-1.145338655E0,-3.808632791E-1
7.134641830E0,1.716938972E0,-1.105633497E0,-4.462239146E-1
7.154413393E0,1.882478595E0,1.732362866E0,-2.190345526E0
7.174183341E0,1.633863688E0,-2.348707676E0,-3.431587219E0
7.193954955E0,3.833066523E-1,-8.612946421E-2,-4.651601911E-1
7.213725007E0,-5.286883116E-1,2.731861591E0,1.244601250E0
7.233496518E0,-1.706401825E0,2.816769361E0,1.229330063E0
7.253266570E0,-1.738165855E0,5.192201734E-1,4.743228853E-1
7.273038080E0,-2.077186108E0,1.221694469E0,5.763344169E-1
7.292808080E0,-3.407000542E0,2.763014793E0,1.262926698E0
7.312579695E0,-3.911560535E0,4.121539116E0,1.485275149E0
7.332349643E0,-3.823598385E0,4.134366989E0,1.319124699E0
7.352121257E0,-3.694098711E0,3.339654684E0,9.501729012E-1
7.371891205E0,-3.386231661E0,2.612746477E0,5.464028716E-1
7.391662820E0,-2.973909855E0,3.029955149E0,2.293731421E-1
7.411432872E0,-2.727127552E0,3.739759684E0,-6.261184067E-2
7.431204382E0,-2.713688850E0,3.458158970E0,-1.976090819E-1
7.450974434E0,-2.711245537E0,2.551050901E0,1.536280811E-1
7.470745945E0,-2.272657156E0,2.587090969E0,4.236225784E-1
7.490515997E0,-2.397269964E0,2.932830334E0,2.409792393E-1
7.510287507E0,-2.337407112E0,2.847311735E0,-1.191152167E-2
7.530057559E0,-1.568350315E0,8.771766424E-1,-7.010999322E-1
7.549829070E0,-1.087613583E0,1.012173891E0,-8.684720993E-1
7.569599122E0,-1.232384324E0,2.010298252E0,-4.590517282E-1
7.589370632E0,-8.707627654E-1,1.706096411E0,-2.299840003E-1
7.609140684E0,-2.922904193E-1,1.138008475E0,-6.461237073E-1
7.628912195E0,6.627693027E-2,1.345696568E0,-1.066386580E0
7.648682247E0,4.384356141E-1,1.629740477E0,-1.118919492E0
7.668453757E0,8.965710402E-1,9.052756429E-1,-8.025006056E-1
7.688223809E0,1.702889442E0,1.600419879E-1,-1.902789176E-1
7.707995320E0,2.142088652E0,-1.318208337E0,-8.276980370E-2
7.727765372E0,2.594115496E0,-1.659672022E0,-2.648022771E-1
7.747536882E0,3.293535709E0,-8.875610828E-1,-6.406260729E-1
7.767306934E0,3.735178232E0,-4.685198367E-1,-8.458707333E-1
7.787078445E0,3.757168770E0,-1.572320819E0,-8.012788892E-1
7.806848497E0,3.229396820E0,-3.080655336E0,-7.163711190E-1
7.826620007E0,3.164036036E0,-3.709828138E0,-3.362714052E-1
7.846389955E0,3.525657654E0,-2.957264185E0,2.434226274E-1
7.866161570E0,3.716852903E0,-2.679786921E0,9.257390499E-1
