,timestamp,acc_x,acc_y,acc_z
248,1663314881569,0.2641078,-9.915857,-0.07627122
249,1663314881574,0.2330011,-9.939785,-0.023629123
250,1663314881574,0.19950159,-10.023534,0.036490545
251,1663314881579,0.18753748,-10.092926,0.084346995
252,1663314881579,0.17318054,-10.164711,0.16331014
253,1663314881584,0.15164514,-10.236495,0.20638095
254,1663314881585,0.0317049,-10.344471,0.28773692
255,1663314881589,-0.028115666,-10.394721,0.34516466
256,1663314881589,-0.025722843,-10.459327,0.3930211
257,1663314881594,0.010169496,-10.531112,0.3786642
258,1663314881594,0.055633128,-10.605289,0.34277186
259,1663314881598,0.12771691,-10.669895,0.3499503
260,1663314881598,0.21385853,-10.722537,0.34277186
261,1663314881604,0.2832504,-10.75843,0.29970104
262,1663314881604,0.33589247,-10.787144,0.2853441
263,1663314881609,0.39332023,-10.842178,0.24227329
264,1663314881609,0.47946185,-10.871191,0.2542374
265,1663314881614,0.558425,-10.911869,0.27816564
266,1663314881614,0.7046863,-10.942976,0.3044867
267,1663314881618,0.72382885,-10.885549,0.37387854
268,1663314881619,0.71665037,-10.815858,0.36191443
269,1663314881624,0.73340017,-10.727323,0.4456632
270,1663314881624,0.80757767,-10.703395,0.5174479
271,1663314881629,0.7573284,-10.701002,0.6972087
272,1663314881629,0.71665037,-10.691431,0.8790632
273,1663314881633,0.6879365,-10.672288,1.1015958
274,1663314881634,0.6975078,-10.626824,1.2311072
275,1663314881638,0.66400826,-10.576575,1.3627125
276,1663314881638,0.66400826,-10.519148,1.4033905
277,1663314881644,0.67836523,-10.452148,1.4081762
278,1663314881644,0.73579293,-10.404292,1.410569
279,1663314881648,0.78843504,-10.346864,1.4177474
280,1663314881648,0.8362915,-10.313365,1.4440684
281,1663314881653,0.86979103,-10.27478,1.4703895
282,1663314881653,0.9056834,-10.219746,1.5206388
283,1663314881658,0.9391829,-10.1599245,1.5493526
284,1663314881658,0.9200403,-10.10489,1.5493526
285,1663314881663,0.94636136,-10.001999,1.5278172
286,1663314881663,0.9200403,-9.9756775,1.5684953
287,1663314881668,0.8985049,-9.927821,1.5613167
288,1663314881669,0.9343972,-9.875179,1.5684953
289,1663314881674,0.94396853,-9.829716,1.558924
290,1663314881674,0.8985049,-9.810573,1.5086746
291,1663314881678,0.8889336,-9.789038,1.4440684
292,1663314881679,0.8458628,-9.6834545,1.3722838
293,1663314881683,0.7477571,-9.731609,1.3651053
294,1663314881683,0.8362915,-9.637991,1.2837493
295,1663314881687,0.64965135,-9.745967,1.3986049
296,1663314881688,0.43878385,-9.868001,1.5373886
297,1663314881693,0.2832504,-9.911072,1.599602
298,1663314881693,0.13250256,-9.946963,1.6307086
299,1663314881697,0.0317049,-10.025927,1.6187445
300,1663314881698,-0.068793654,-10.133604,1.6091732
301,1663314881703,-0.22432712,-10.243673,1.544567
302,1663314881704,-0.37268212,-10.349257,1.4799608
303,1663314881708,-0.4444668,-10.447363,1.4440684
304,1663314881709,-0.34157544,-10.490434,1.2669996
305,1663314881713,-0.45164528,-10.586146,1.1976078
306,1663314881713,-0.6840482,-10.864013,1.3507484
307,1663314881718,-0.83958167,-11.050653,1.4919249
308,1663314881718,-0.8539386,-11.1631155,1.558924
309,1663314881723,-0.84436727,-11.330613,1.5828521
310,1663314881723,-0.69122666,-11.440983,1.6187445
311,1663314881729,-0.5883353,-11.622837,1.666601
312,1663314881729,-0.46839502,-11.797513,1.7386848
313,1663314881732,-0.293719,-11.914762,1.7769699
314,1663314881732,-0.1381855,-12.049058,1.8056837
315,1663314881737,-0.011365907,-12.147164,1.843969
316,1663314881737,0.08943175,-12.273984,1.9085752
317,1663314881742,0.27367908,-12.367304,1.9731814
318,1663314881743,0.43878385,-12.455838,1.9301106
319,1663314881747,0.5057829,-12.549458,1.9061823
320,1663314881748,0.4339982,-12.683455,1.9253249
321,1663314881752,0.3909274,-12.760026,1.9013968
322,1663314881752,0.41485563,-12.827024,1.8128623
323,1663314881758,0.46989053,-12.9083805,1.7048861
324,1663314881758,0.51056856,-13.016058,1.4895321
325,1663314881763,0.5943173,-13.102499,1.2789637
326,1663314881764,0.6134599,-13.1694975,1.1015958
327,1663314881767,0.60628146,-13.207783,0.97956175
328,1663314881767,0.58953166,-13.207783,0.82881397
329,1663314881772,0.5799604,-13.1694975,0.6589235
330,1663314881772,0.5943173,-13.11207,0.5844469
331,1663314881777,0.61106706,-13.080664,0.503091
332,1663314881777,0.58474606,-13.025629,0.42891344
333,1663314881782,0.5416752,-12.961023,0.43609193
334,1663314881782,0.4531408,-12.88206,0.42652065
335,1663314881787,0.3502494,-12.838989,0.43130627
336,1663314881787,0.24496523,-12.791133,0.41694933
337,1663314881792,0.09421739,-12.745669,0.3595216
338,1663314881792,-0.08793623,-12.750455,0.26620153
339,1663314881797,-0.32243285,-12.700205,0.17288144
340,1663314881797,-0.5452645,-12.707384,0.04127619
341,1663314881802,-0.7821539,-12.690634,-0.042771704
342,1663314881803,-1.0190433,-12.73849,-0.18394823
343,1663314881807,-1.2370893,-12.781561,-0.33230326
344,1663314881807,-1.3663018,-12.901202,-0.50458646
345,1663314881811,-1.4620147,-12.949059,-0.6843473
346,1663314881811,-1.4380864,-12.97538,-0.89491564
347,1663314881816,-1.2634103,-13.0687,-1.1153544
348,1663314881816,-0.95443714,-13.135998,-1.2182459
349,1663314881822,-0.47318068,-13.140783,-1.2876377
350,1663314881822,0.09421739,-13.114463,-1.256531
351,1663314881827,0.79800636,-13.083056,-1.1919248
352,1663314881827,1.5233307,-12.9801655,-1.0408778
353,1663314881831,2.1744776,-12.841382,-0.8039884
354,1663314881831,2.710769,-12.716955,-0.47347978
355,1663314881836,3.1393833,-12.58535,-0.06669993
356,1663314881836,3.4387853,-12.412767,0.36909288
