"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.391644691E0,-1.189014196E0,-6.181774139E-1,-1.230857223E-1
5.411415889E0,-1.097997904E0,-9.559759498E-1,3.087832928E-1
5.431185524E0,-3.826957941E-1,-7.024743557E-1,8.958075047E-1
5.450956722E0,2.959555089E-1,-2.052446753E-1,9.978190064E-1
5.470726357E0,8.399149776E-2,-5.717530251E-1,1.273311138E0
5.490497555E0,-7.357655168E-1,2.559449971E-1,1.649592996E0
5.510267139E0,-1.464506269E0,3.427616596E0,-9.875873327E-1
5.530038389E0,3.148764849E0,-2.205158710E0,-5.866424561E0
5.549807972E0,-7.003363967E-1,-3.084778786E-1,-1.335770249E0
5.569579222E0,-1.049741030E0,-7.568397522E-1,-1.743816257E0
5.589348805E0,-2.648328304E0,4.771480560E0,2.159345001E-1
5.609120003E0,-4.516910076E0,3.634693861E0,3.454341292E-1
5.628889639E0,-2.229287148E0,7.910472155E-1,-3.411581814E-1
5.648660836E0,-2.323968410E0,-3.384093940E-1,-3.246653080E-1
5.668430472E0,-2.807759523E0,3.109212518E-1,8.273926377E-1
5.688201670E0,-3.178543806E0,1.902789235E0,1.031415582E0
5.707971253E0,-3.254288673E0,2.587701797E0,3.717005551E-1
5.727742503E0,-3.227411509E0,2.112309933E0,-2.305948436E-1
5.747512086E0,-2.670318842E0,1.091584086E0,-5.343386531E-1
5.767283336E0,-2.084516287E0,2.687728032E-2,-4.333961308E-1
5.787052920E0,-2.068634272E0,-9.712471068E-2,-2.226538211E-1
5.806824118E0,-2.120556355E0,4.379774928E-1,-4.236225784E-1
5.826593753E0,-1.862778664E0,3.823903799E-1,-6.412369013E-1
5.846364951E0,-1.586064935E0,2.626643144E-2,-6.363501549E-1
5.866134534E0,-1.547581553E0,-7.269082218E-2,-5.801522136E-1
5.885905784E0,-1.579345584E0,-2.345653474E-1,-5.557183027E-1
5.905675368E0,-1.231162667E0,-6.230642200E-1,-5.311316848E-1
5.925446566E0,-7.528692484E-1,-1.203979969E0,-4.523324072E-1
